time,sea_water_practical_salinity_ctd,sea_water_practical_salinity_ctd_qc_agg,z
UTC,1e-3,,m
2022-01-04T14:58:12Z,NaN,2,0.0
2022-01-04T15:02:09Z,30.5468,1,0.0
2022-01-04T15:02:12Z,NaN,2,0.0
2022-01-04T15:06:09Z,30.5536,1,0.0
2022-01-04T15:06:12Z,NaN,2,0.0
2022-01-04T15:10:09Z,30.5452,1,0.0
2022-01-04T15:10:12Z,NaN,2,0.0
2022-01-04T15:14:09Z,30.5798,1,0.0
2022-01-04T15:14:12Z,NaN,2,0.0
2022-01-04T15:18:09Z,30.5668,1,0.0
2022-01-04T15:18:12Z,NaN,2,0.0
2022-01-04T15:22:09Z,30.5763,1,0.0
2022-01-04T15:22:12Z,NaN,2,0.0
2022-01-04T15:26:09Z,30.5694,1,0.0
2022-01-04T15:26:12Z,NaN,2,0.0
2022-01-04T15:30:09Z,30.5609,1,0.0
2022-01-04T15:30:12Z,NaN,2,0.0
2022-01-04T15:34:09Z,30.5723,1,0.0
2022-01-04T15:34:12Z,NaN,2,0.0
2022-01-04T15:38:09Z,30.5731,1,0.0
2022-01-04T15:38:12Z,NaN,2,0.0
2022-01-04T15:42:09Z,30.5686,1,0.0
2022-01-04T15:42:12Z,NaN,2,0.0
2022-01-04T15:46:09Z,30.5683,1,0.0
2022-01-04T15:46:12Z,NaN,2,0.0
2022-01-04T15:50:09Z,30.5796,1,0.0
2022-01-04T15:50:12Z,NaN,2,0.0
2022-01-04T15:54:09Z,30.5788,1,0.0
2022-01-04T15:54:12Z,NaN,2,0.0
2022-01-04T15:58:09Z,30.5684,1,0.0
2022-01-04T15:58:12Z,NaN,2,0.0
2022-01-04T16:02:09Z,30.5605,1,0.0
2022-01-04T16:02:12Z,NaN,2,0.0
2022-01-04T16:06:09Z,30.5589,1,0.0
2022-01-04T16:06:12Z,NaN,2,0.0
2022-01-04T16:10:09Z,30.548,1,0.0
2022-01-04T16:10:12Z,NaN,2,0.0
2022-01-04T16:14:09Z,30.5537,1,0.0
2022-01-04T16:14:12Z,NaN,2,0.0
2022-01-04T16:18:09Z,30.5667,1,0.0
2022-01-04T16:18:12Z,NaN,2,0.0
2022-01-04T16:22:09Z,30.5707,1,0.0
2022-01-04T16:22:12Z,NaN,2,0.0
2022-01-04T16:26:09Z,30.5646,1,0.0
2022-01-04T16:26:12Z,NaN,2,0.0
2022-01-04T16:30:09Z,30.5592,1,0.0
2022-01-04T16:30:12Z,NaN,2,0.0
2022-01-04T16:34:09Z,30.5519,1,0.0
2022-01-04T16:34:12Z,NaN,2,0.0
2022-01-04T16:38:09Z,30.5505,1,0.0
2022-01-04T16:38:12Z,NaN,2,0.0
2022-01-04T16:42:09Z,30.5561,1,0.0
2022-01-04T16:42:12Z,NaN,2,0.0
2022-01-04T16:46:09Z,30.5553,1,0.0
2022-01-04T16:46:12Z,NaN,2,0.0
2022-01-04T16:50:09Z,30.5463,1,0.0
2022-01-04T16:50:12Z,NaN,2,0.0
2022-01-04T16:54:09Z,30.5484,1,0.0
2022-01-04T16:54:12Z,NaN,2,0.0
2022-01-04T16:58:09Z,30.5609,1,0.0
2022-01-04T16:58:12Z,NaN,2,0.0
2022-01-04T17:02:09Z,30.5543,1,0.0
2022-01-04T17:02:12Z,NaN,2,0.0
2022-01-04T17:06:09Z,30.5452,1,0.0
2022-01-04T17:06:12Z,NaN,2,0.0
2022-01-04T17:10:09Z,30.5512,1,0.0
2022-01-04T17:10:12Z,NaN,2,0.0
2022-01-04T17:14:09Z,30.5522,1,0.0
2022-01-04T17:14:12Z,NaN,2,0.0
2022-01-04T17:18:09Z,30.5518,1,0.0
