time,mass_concentration_of_chlorophyll_in_sea_water_ctd,mass_concentration_of_chlorophyll_in_sea_water_ctd_qc_agg,z
UTC,microg.L-1,,m
2021-09-16T22:54:25Z,3.46,1,0
2021-09-16T22:58:12Z,NaN,2,0
2021-09-16T22:58:25Z,3.41,1,0
2021-09-16T23:02:12Z,NaN,2,0
2021-09-16T23:02:25Z,3.38,1,0
2021-09-16T23:06:12Z,NaN,2,0
2021-09-16T23:06:25Z,3.38,1,0
2021-09-16T23:10:12Z,NaN,2,0
2021-09-16T23:10:25Z,3.38,1,0
2021-09-16T23:14:12Z,NaN,2,0
2021-09-16T23:14:25Z,3.52,1,0
2021-09-16T23:18:12Z,NaN,2,0
2021-09-16T23:18:25Z,3.56,1,0
2021-09-16T23:22:12Z,NaN,2,0
2021-09-16T23:22:25Z,3.59,1,0
2021-09-16T23:26:12Z,NaN,2,0
2021-09-16T23:26:25Z,3.51,1,0
2021-09-16T23:30:12Z,NaN,2,0
2021-09-16T23:30:25Z,3.51,1,0
2021-09-16T23:34:12Z,NaN,2,0
2021-09-16T23:34:25Z,3.55,1,0
2021-09-16T23:38:12Z,NaN,2,0
2021-09-16T23:38:25Z,3.62,1,0
2021-09-16T23:42:12Z,NaN,2,0
2021-09-16T23:42:25Z,3.6,1,0
2021-09-16T23:46:12Z,NaN,2,0
2021-09-16T23:46:25Z,3.72,1,0
2021-09-16T23:50:12Z,NaN,2,0
2021-09-16T23:50:25Z,3.66,1,0
2021-09-16T23:54:12Z,NaN,2,0
2021-09-16T23:54:25Z,3.75,1,0
2021-09-16T23:58:12Z,NaN,2,0
2021-09-16T23:58:25Z,3.68,1,0
2021-09-17T00:02:12Z,NaN,2,0
2021-09-17T00:02:25Z,3.7,1,0
2021-09-17T00:06:12Z,NaN,2,0
2021-09-17T00:06:25Z,3.62,1,0
2021-09-17T00:10:12Z,NaN,2,0
2021-09-17T00:10:25Z,3.73,1,0
2021-09-17T00:14:12Z,NaN,2,0
2021-09-17T00:14:25Z,3.84,1,0
2021-09-17T00:18:12Z,NaN,2,0
2021-09-17T00:18:25Z,3.88,1,0
2021-09-17T00:22:12Z,NaN,2,0
2021-09-17T00:22:25Z,3.75,1,0
2021-09-17T00:26:12Z,NaN,2,0
2021-09-17T00:26:25Z,4.03,1,0
2021-09-17T00:30:12Z,NaN,2,0
2021-09-17T00:30:25Z,3.8,1,0
2021-09-17T00:34:12Z,NaN,2,0
2021-09-17T00:34:25Z,3.74,1,0
2021-09-17T00:38:12Z,NaN,2,0
2021-09-17T00:38:25Z,3.76,1,0
2021-09-17T00:42:12Z,NaN,2,0
2021-09-17T00:42:25Z,3.59,1,0
2021-09-17T00:46:12Z,NaN,2,0
2021-09-17T00:46:25Z,3.58,1,0
2021-09-17T00:50:12Z,NaN,2,0
2021-09-17T00:50:25Z,3.72,1,0
2021-09-17T00:54:12Z,NaN,2,0
2021-09-17T00:54:25Z,3.7,1,0
2021-09-17T00:58:12Z,NaN,2,0
2021-09-17T00:58:25Z,3.61,1,0
2021-09-17T01:02:12Z,NaN,2,0
2021-09-17T01:02:25Z,3.57,1,0
2021-09-17T01:06:12Z,NaN,2,0
2021-09-17T01:06:25Z,3.59,1,0
2021-09-17T01:10:12Z,NaN,2,0
2021-09-17T01:10:25Z,3.58,1,0
2021-09-17T01:14:12Z,NaN,2,0
2021-09-17T01:14:25Z,3.59,1,0
2021-09-17T01:18:12Z,NaN,2,0
2021-09-17T01:18:25Z,3.56,1,0
2021-09-17T01:22:12Z,NaN,2,0
2021-09-17T01:22:25Z,3.6,1,0
