#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 04 09 26 999 99.0 99.0  1.13 15.38  9.57 255 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 04 09 56 999 99.0 99.0  1.12 15.38  9.02 261 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 10 26 999 99.0 99.0  1.21 15.38  9.85 255 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 10 56 999 99.0 99.0  1.19 15.38  9.86 258 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 11 26 999 99.0 99.0  1.07 15.38  9.50 261 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 11 56 999 99.0 99.0  1.16 15.38  9.84 257 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 12 26 999 99.0 99.0  1.02 15.38  8.50 255 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 12 56 999 99.0 99.0  1.05 15.38  8.20 257 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 13 26 999 99.0 99.0  1.13 15.38  8.47 254 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 13 56 999 99.0 99.0  0.94 13.33  6.95 260 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 14 26 999 99.0 99.0  1.07 14.29  8.16 264 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 14 56 999 99.0 99.0  1.05 14.29  8.13 251 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 15 26 999 99.0 99.0  1.20 14.29  8.98 260 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 15 56 999 99.0 99.0  0.98 14.29  7.80 260 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 16 26 999 99.0 99.0  1.00 14.29  8.15 255 9999.0 999.0  15.3 999.0 99.0 99.00
2021 01 04 16 56 999 99.0 99.0  1.09 13.33  9.43 264 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 04 17 26 999 99.0 99.0  1.05 14.29  9.05 260 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 04 17 56 999 99.0 99.0  1.26 13.33  9.92 264 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 04 18 26 999 99.0 99.0  1.12 13.33  9.59 262 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 04 18 56 999 99.0 99.0  1.24 13.33 10.33 268 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 19 26 999 99.0 99.0  1.32 12.50 10.36 268 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 19 56 999 99.0 99.0  1.15 14.29 10.01 260 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 04 20 26 999 99.0 99.0  1.17 14.29  9.76 264 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 20 56 999 99.0 99.0  1.13 13.33  9.12 268 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 21 26 999 99.0 99.0  1.13 14.29  8.19 261 9999.0 999.0  15.5 999.0 99.0 99.00
2021 01 04 21 56 999 99.0 99.0  1.08 14.29  7.82 260 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 04 22 26 999 99.0 99.0  1.17 14.29  7.33 257 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 04 22 56 999 99.0 99.0  1.18 14.29  8.21 260 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 04 23 26 999 99.0 99.0  1.15 14.29  7.88 262 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 04 23 56 999 99.0 99.0  1.12 14.29  7.44 262 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 00 26 999 99.0 99.0  1.14 14.29  7.67 255 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 00 56 999 99.0 99.0  1.17 14.29  8.02 255 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 01 26 999 99.0 99.0  1.09 15.38  7.87 252 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 01 56 999 99.0 99.0  1.15 14.29  8.47 254 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 02 26 999 99.0 99.0  1.06 11.11  8.07 262 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 02 56 999 99.0 99.0  0.93 14.29  7.31 258 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 03 26 999 99.0 99.0  1.00 14.29  8.08 258 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 03 56 999 99.0 99.0  1.03 14.29  7.89 254 9999.0 999.0  15.4 999.0 99.0 99.00
2021 01 05 04 26 999 99.0 99.0  1.12 11.76  7.50 264 9999.0 999.0  15.4 999.0 99.0 99.00
